Signal,label
-135.86321934764294,1
-133.63213381454412,1
-131.41229999532356,1
-129.19185920219073,1
-126.97618141272041,1
-124.77482532305072,1
-122.57080863402814,1
-120.37221275676646,1
-118.1835281677528,1
-115.9901793269998,1
-113.80866718452283,1
-111.63969092222675,1
-109.46943581648172,1
-107.31334570998271,1
-105.15641404868596,1
-123.4696373623926,1
-47.538892124821245,1
-46.38437072419896,1
-45.23440467341296,1
-44.104801146715346,1
-42.98011705695309,1
-41.87913604340792,1
-40.78679723461674,1
-39.717352727010535,1
-38.66098962003554,1
-37.62468283718063,1
-36.5981328274118,1
-35.58891696789845,1
-34.591503972467116,1
-33.608754173458536,1
-32.652172595995864,1
-31.712523573517743,1
-30.78164194246411,1
-29.86085148236588,1
-28.957493800395095,1
-28.08015498895573,1
-27.22067300593451,1
-26.367171993830404,1
-25.538584831547784,1
-24.72049954957802,1
-23.9260241630582,1
-23.141576932880366,1
-22.378240264452927,1
-21.62778992420078,1
-20.898599656021357,1
-20.178792288582066,1
-19.48925143204291,1
-18.80867297007586,1
-18.139293814048617,1
-17.490197926713876,1
-16.861377635096662,1
-16.24080443053162,1
-15.642841216038011,1
-15.063309851314605,1
-14.492148783745334,1
-13.939761423637155,1
-13.40109428619068,1
-12.88681266096635,1
-12.371885238074862,1
-11.878413699800198,1
-11.398363426076218,1
-10.94196408956892,1
-10.49938007431271,1
-10.061632329182109,1
-9.640582421651045,1
-9.241963351234663,1
-8.850817945789288,1
-8.469455545200898,1
-8.106416265286112,1
-7.759850959159734,1
-7.420779585870997,1
-7.0890216468276535,1
-6.779433881391883,1
-6.467384219278462,1
-6.178474346736687,1
-54.28852001650021,0
-52.67442158592761,0
-51.054689917178294,0
-49.47149932249041,0
-47.88908832536466,0
-46.32196911956291,0
-44.76860172100891,0
-43.24140649854789,0
-41.733002713501946,0
-40.22870695413467,0
-38.75085935843659,0
-37.2991261894716,0
-35.85687358256603,0
-34.437116061130844,0
-33.039384333079106,0
-31.66004267277969,0
-30.309860680624098,0
-28.981484254107077,0
-27.667322560726564,0
-26.37885034128063,0
-25.134179697998988,0
-23.8895677988924,0
-22.681346072565663,0
-21.497857888838833,0
-20.350866376961783,0
-19.226134702624968,0
-18.129270956883307,0
-17.062358164729105,0
-16.027376424902318,0
-15.017224980832708,0
-14.059534956309466,0
-13.121131525509233,0
-12.214615031129075,0
-11.348563137580054,0
-10.522569159505839,0
-9.719819671295435,0
-8.962010612582622,0
-8.237633172487206,0
-7.561184703548853,0
-6.9111160194234404,0
-6.301195829467558,0
-5.728761170025127,0
-5.188223066585759,0
-4.686326757319728,0
-4.229041205169076,0
-3.8025618781695667,0
-3.409302341289764,0
-3.0406799232473536,0
-2.707801108676968,0
-2.408379288346541,0
-2.139730753988684,0
-1.8910060026810442,0
-1.667274286099581,0
-1.470285284087574,0
-1.2840978829642682,0
-1.1274302745251739,0
-0.990983500683492,0
-0.8671165474910807,0
-0.7616795055385908,0
-0.6602472293935374,0
-29.19035462047226,0
-26.98628364004716,0
-24.895120632458102,0
-22.93492012357638,0
-21.07263872279979,0
-19.321112861789302,0
-17.672403944909398,0
0.001197508699643922,0
0.00387430120092453,0
0.0016618370482766656,0
0.001700496364234144,0
0.0034014102786456804,0
0.0012124716624625817,0
0.0017250841115542426,0
-0.002930478533950912,0
-0.0026056271446507906,0
0.002284513849918779,0
0.0029301439449603136,0
-0.0019754780896437977,0
-0.0005448089508247051,0
0.0019816921063678388,0
-0.0008676191819428715,0
0.00203254331859691,0
-0.0024863273896640462,0
0.0022991265587480095,0
0.00184606849473005,0
-0.0013056156338389596,0
-0.0007034851349496582,0
-0.0006425122558447707,0
0.00029091829329251585,0
0.0004108461239455742,0
-0.0004861744536732425,0
0.004140775363063157,0
-0.001664265104846503,0
0.0023821387511141203,0
0.0021090497994253944,0
-0.0013480730387880966,0
-0.0019483007602197294,0
-0.0025852153982880125,0
-0.006794546408705907,0
0.002448107608315695,0
0.002676701627152833,0
0.0035899972537249817,0
-0.00019217441795362072,0
-7.9892953893715e-05,0
0.0011337793779601338,0
-0.004571423259050123,0
-0.0016406153950236737,0
-0.00023098429797839627,0
-0.0004618075102149158,0
0.0008795883343740888,0
0.0011429594065762256,0
0.0001868497481047296,0
-0.0004950102244815613,0
0.0010909408266438867,0
